Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes,Years Coaching Nebraska,Order
1,2020,Big Ten,3,5,0,0.375,0.14,5.14,,,,Scott Frost (3-5),,3,3,6
2,2019,Big Ten,5,7,0,0.417,2.67,4,24,24,,Scott Frost (5-7),,2,2,6
3,2018,Big Ten,4,8,0,0.333,3.48,4.82,,,,Scott Frost (4-8),,1,1,6
4,2017,Big Ten,4,8,0,0.333,1.52,8.18,,,,Mike Riley (4-8),,,3,5
5,2016,Big Ten,9,4,0,0.692,7.55,2.94,,7,,Mike Riley (9-4),Music City Bowl-L,,2,5
6,2015,Big Ten,6,7,0,0.462,6.56,3.94,,,,Mike Riley (6-7),Foster Farms Bowl-W,,1,5
7,2014,Big Ten,9,4,0,0.692,10.26,1.72,22,11,,Bo Pelini (9-3) Barney Cotton (0-1),Holiday Bowl-L,,7,4
8,2013,Big Ten,9,4,0,0.692,5.22,0.45,18,18,,Bo Pelini (9-4),Gator Bowl-W,,6,4
9,2012,Big Ten,10,4,0,0.714,9.79,4.22,17,14,25,Bo Pelini (10-4),Capital One Bowl-L,,5,4
10,2011,Big Ten,9,4,0,0.692,8.76,3.07,10,8,24,Bo Pelini (9-4),Capital One Bowl-L,,4,4
11,2010,Big 12,10,4,0,0.714,12.85,2.42,8,5,20,Bo Pelini (10-4),Holiday Bowl-L,,3,4
12,2009,Big 12,10,4,0,0.714,11.41,2.69,24,14,14,Bo Pelini (10-4),Holiday Bowl-W,,2,4
13,2008,Big 12,9,4,0,0.692,10.92,3.69,,,,Bo Pelini (9-4),Gator Bowl-W,,1,4
14,2007,Big 12,5,7,0,0.417,1.48,5.89,20,14,,Bill Callahan (5-7),,,4,3
15,2006,Big 12,9,5,0,0.643,8.92,1.99,20,17,,Bill Callahan (9-5),Cotton Bowl-L,,3,3
16,2005,Big 12,8,4,0,0.667,7.57,3.57,,24,24,Bill Callahan (8-4),Alamo Bowl-W,,2,3
17,2004,Big 12,5,6,0,0.455,1.32,2.23,,,,Bill Callahan (5-6),,,1,3
18,2003,Big 12,10,3,0,0.769,11.18,2.18,,10,19,Frank Solich (9-3) Bo Pelini (1-0),Alamo Bowl-W,,6,3
19,2002,Big 12,7,7,0,0.5,4.09,2.45,10,8,,Frank Solich (7-7),Independence Bowl-L,,5,3
20,2001,Big 12,11,2,0,0.846,16.48,4.33,4,2,8,Frank Solich (11-2),Rose Bowl-L,,4,3
21,2000,Big 12,10,2,0,0.833,19.01,4.51,1,1,8,Frank Solich (10-2),Alamo Bowl-W,,3,3
22,1999,Big 12,12,1,0,0.923,21.15,5.15,6,3,3,Frank Solich (12-1),Fiesta Bowl-W,,2,3
23,1998,Big 12,9,4,0,0.692,16.6,6.52,4,2,19,Frank Solich (9-4),Holiday Bowl-L,,1,3
24,1997,Big 12,13,0,0,1,22.3,2.53,6,1,2,Tom Osborne (13-0),Orange Bowl-W,,25,2
25,1996,Big 12,11,2,0,0.846,22.22,6.53,1,1,6,Tom Osborne (11-2),Orange Bowl-W,,24,2
26,1995,Big 8,12,0,0,1,26.86,3.78,2,1,1,Tom Osborne (12-0),Fiesta Bowl-W,,23,2
27,1994,Big 8,13,0,0,1,20.65,2.26,4,1,1,Tom Osborne (13-0),Orange Bowl-W,,22,2
28,1993,Big 8,11,1,0,0.917,20.31,5.48,8,2,3,Tom Osborne (11-1),Orange Bowl-L,,21,2
29,1992,Big 8,9,3,0,0.75,16.98,4.31,11,7,14,Tom Osborne (9-3),Orange Bowl-L,,20,2
30,1991,Big 8,9,2,1,0.792,15.81,4.98,15,9,15,Tom Osborne (9-2-1),Orange Bowl-L,,19,2
31,1990,Big 8,9,3,0,0.75,15.48,3.64,7,3,24,Tom Osborne (9-3),Citrus Bowl-L,,18,2
32,1989,Big 8,10,2,0,0.833,16.03,0.2,3,3,11,Tom Osborne (10-2),Fiesta Bowl-L,,17,2
33,1988,Big 8,11,2,0,0.846,13.55,1.01,2,2,10,Tom Osborne (11-2),Orange Bowl-L,,16,2
34,1987,Big 8,10,2,0,0.833,19.18,5.09,2,1,6,Tom Osborne (10-2),Fiesta Bowl-L,,15,2
35,1986,Big 8,10,2,0,0.833,18.05,2.8,8,3,5,Tom Osborne (10-2),Sugar Bowl-W,,14,2
36,1985,Big 8,9,3,0,0.75,15.23,3.73,9,2,11,Tom Osborne (9-3),Fiesta Bowl-L,,13,2
37,1984,Big 8,10,2,0,0.833,17.57,2.15,2,1,4,Tom Osborne (10-2),Sugar Bowl-W,,12,2
38,1983,Big 8,12,1,0,0.923,22.61,3.84,1,1,2,Tom Osborne (12-1),Orange Bowl-L,,11,2
39,1982,Big 8,12,1,0,0.923,21.94,4.48,4,2,3,Tom Osborne (12-1),Orange Bowl-W,,10,2
40,1981,Big 8,9,3,0,0.75,21.79,8.88,6,4,11,Tom Osborne (9-3),Orange Bowl-L,,9,2
41,1980,Big 8,10,2,0,0.833,25.74,8.74,7,3,7,Tom Osborne (10-2),Sun Bowl-W,,8,2
42,1979,Big 8,10,2,0,0.833,19.67,5.17,8,2,9,Tom Osborne (10-2),Cotton Bowl-L,,7,2
43,1978,Big 8,9,3,0,0.75,21.07,9.65,10,2,8,Tom Osborne (9-3),Orange Bowl-L,,6,2
44,1977,Big 8,9,3,0,0.75,17.75,9.42,15,9,12,Tom Osborne (9-3),Liberty Bowl-W,,5,2
45,1976,Big 8,9,3,1,0.731,17.63,7.79,1,1,9,Tom Osborne (9-3-1),Bluebonnet Bowl-W,,4,2
46,1975,Big 8,10,2,0,0.833,20.67,8.5,7,2,9,Tom Osborne (10-2),Fiesta Bowl-L,,3,2
47,1974,Big 8,9,3,0,0.75,17.5,6.84,7,4,9,Tom Osborne (9-3),Sugar Bowl-W,,2,2
48,1973,Big 8,9,2,1,0.792,25.89,15.56,4,2,7,Tom Osborne (9-2-1),Cotton Bowl-W,,1,2
49,1972,Big 8,9,2,1,0.792,25.57,8.82,1,1,4,Bob Devaney (9-2-1),Orange Bowl-W,,11,1
50,1971,Big 8,13,0,0,1,31.49,8.79,2,1,1,Bob Devaney (13-0),Orange Bowl-W,,10,1
51,1970,Big 8,11,0,1,0.958,27.63,10.21,9,1,1,Bob Devaney (11-0-1),Orange Bowl-W,,9,1
52,1969,Big 8,9,2,0,0.818,21.96,11.32,,11,11,Bob Devaney (9-2),Sun Bowl-W,,8,1
53,1968,Big 8,6,4,0,0.6,9.83,7.93,14,7,,Bob Devaney (6-4),,,7,1
54,1967,Big 8,6,4,0,0.6,7.63,3.83,,7,,Bob Devaney (6-4),,,6,1
55,1966,Big 8,9,2,0,0.818,9.95,1.22,3,3,6,Bob Devaney (9-2),Sugar Bowl-L,,5,1
56,1965,Big 8,10,1,0,0.909,17.55,2.55,1,1,5,Bob Devaney (10-1),Orange Bowl-L,,4,1
57,1964,Big 8,9,2,0,0.818,13.7,3.34,,4,6,Bob Devaney (9-2),Cotton Bowl-L,,3,1
58,1963,Big 8,10,1,0,0.909,15.06,3.43,,6,6,Bob Devaney (10-1),Orange Bowl-W,,2,1
59,1962,Big 8,9,2,0,0.818,11.12,0.85,,,,Bob Devaney (9-2),Gotham Bowl-W,,1,1
60,1961,Big 8,3,6,1,0.35,2.18,4.28,,,,William Jennings (3-6-1),,,,
61,1960,Big 8,4,6,0,0.4,4.9,10.5,,12,,William Jennings (4-6),,,,
62,1959,Big 7,4,6,0,0.4,3.11,6.91,,,,William Jennings (4-6),,,,
63,1958,Big 7,3,7,0,0.3,-4.86,7.54,,,,William Jennings (3-7),,,,
64,1957,Big 7,1,9,0,0.1,-10.25,5.25,,,,William Jennings (1-9),,,,
65,1956,Big 7,4,6,0,0.4,-1.79,3.41,,,,Pete Elliott (4-6),,,,
66,1955,Big 7,5,5,0,0.5,1.26,3.56,,,,William Glassford (5-5),,,,
67,1954,Big 7,6,5,0,0.545,4.93,2.29,,20,,William Glassford (6-5),Orange Bowl-L,,,
68,1953,Big 7,3,6,1,0.35,0.68,6.88,,,,William Glassford (3-6-1),,,,
69,1952,Big 7,5,4,1,0.55,7.11,4.11,,,,William Glassford (5-4-1),,,,
70,1951,Big 7,1,8,1,0.15,-9.87,3.63,12,12,,William Glassford (1-8-1),,record adjusted to 2-8-0 by NCAA,,
71,1950,Big 7,6,2,1,0.722,8.77,3.43,,16,17,William Glassford (6-2-1),,,,
72,1949,Big 7,4,5,0,0.444,1.73,5.4,,,,William Glassford (4-5),,,,
73,1948,Big 7,2,8,0,0.2,-6.59,6.01,,,,Potsy Clark (2-8),,,,
74,1947,Big 6,2,7,0,0.222,-3.92,7.31,,,,Bernie Masterson (2-7),,,,
75,1946,Big 6,3,6,0,0.333,-2.7,2.74,,,,Bernie Masterson (3-6),,,,
76,1945,Big 6,4,5,0,0.444,-5.6,-1.38,,,,Potsy Clark (4-5),,,,
77,1944,Big 6,2,6,0,0.25,-6.23,5.02,,,,Adolph Lewandowski (2-6),,,,
78,1943,Big 6,2,6,0,0.25,-15.48,-0.73,,,,Adolph Lewandowski (2-6),,,,
79,1942,Big 6,3,7,0,0.3,-7.42,0.68,,,,Glenn Presnell (3-7),,,,
80,1941,Big 6,4,5,0,0.444,7.28,5.73,,15,,Biff Jones (4-5),,,,
81,1940,Big 6,8,2,0,0.8,15.9,7.3,,7,7,Biff Jones (8-2),Rose Bowl-L,,,
82,1939,Big 6,7,1,1,0.833,12.31,5.97,,10,18,Biff Jones (7-1-1),,,,
83,1938,Big 6,3,5,1,0.389,3.94,6.83,,,,Biff Jones (3-5-1),,,,
84,1937,Big 6,6,1,2,0.778,8.02,1.57,,6,11,Biff Jones (6-1-2),,,,
85,1936,Big 6,7,2,0,0.778,19.82,7.49,,6,9,Dana Bible (7-2),,,,
86,1935,Big 6,6,2,1,0.722,13.25,5.91,,,,Dana Bible (6-2-1),,,,
87,1934,Big 6,6,3,0,0.667,6.44,5.55,,,,Dana Bible (6-3),,,,
88,1933,Big 6,8,1,0,0.889,19.11,5.78,,,,Dana Bible (8-1),,,,
89,1932,Big 6,7,1,1,0.833,10.39,4.06,,,,Dana Bible (7-1-1),,,,
90,1931,Big 6,8,2,0,0.8,7.65,1.15,,,,Dana Bible (8-2),,,,
91,1930,Big 6,4,3,2,0.556,5.15,1.48,,,,Dana Bible (4-3-2),,,,
92,1929,Big 6,4,1,3,0.688,8.29,4.17,,,,Dana Bible (4-1-3),,,,
93,1928,Big 6,7,1,1,0.833,11.54,-0.13,,,,Ernest Bearg (7-1-1),,,,
94,1927,MVIAA,6,2,0,0.75,14,2.25,,,,Ernest Bearg (6-2),,,,
95,1926,MVIAA,6,2,0,0.75,8.64,-0.98,,,,Ernest Bearg (6-2),,,,
96,1925,MVIAA,4,2,2,0.625,12.42,7.92,,,,Ernest Bearg (4-2-2),,,,
97,1924,MVIAA,5,3,0,0.625,11.1,6.22,,,,Fred Dawson (5-3),,,,
98,1923,MVIAA,4,2,2,0.625,11.54,6.42,,,,Fred Dawson (4-2-2),,,,
99,1922,MVIAA,7,1,0,0.875,20.93,3.18,,,,Fred Dawson (7-1),,,,
100,1921,MVIAA,7,1,0,0.875,21.57,3.19,,,,Fred Dawson (7-1),,,,
101,1920,Ind,5,3,1,0.611,7.22,1.33,,,,Henry Schulte (5-3-1),,,,
102,1919,Ind,3,3,2,0.5,6.99,7.74,,,,Henry Schulte (3-3-2),,,,
103,1918,MVIAA,2,3,1,0.417,4.57,4.9,,,,William Kline (2-3-1),,,,
104,1917,MVIAA,5,2,0,0.714,12.6,3.74,,,,Edward Stewart (5-2),,,,
105,1916,MVIAA,6,2,0,0.75,8.33,0.08,,,,Edward Stewart (6-2),,,,
106,1915,MVIAA,8,0,0,1,18.57,-2.93,,,,Jumbo Stiehm (8-0),,,,
107,1914,MVIAA,7,0,1,0.938,10.5,-5.13,,,,Jumbo Stiehm (7-0-1),,,,
108,1913,MVIAA,8,0,0,1,12.26,-0.87,,,,Jumbo Stiehm (8-0),,,,
109,1912,MVIAA,7,1,0,0.875,12.52,-0.98,,,,Jumbo Stiehm (7-1),,,,
110,1911,MVIAA,5,1,2,0.75,12.03,-0.72,,,,Jumbo Stiehm (5-1-2),,,,
111,1910,MVIAA,7,1,0,0.875,8.59,-3.04,,,,King Cole (7-1),,,,
112,1909,MVIAA,3,3,2,0.5,3.34,1.97,,,,King Cole (3-3-2),,,,
113,1908,MVIAA,7,2,1,0.75,5.18,-1.32,,,,King Cole (7-2-1),,,,
114,1907,MVIAA,8,2,0,0.8,9.73,-2.27,,,,King Cole (8-2),,,,
115,1906,Ind,6,4,0,0.6,3.42,-1.28,,,,Amos Foster (6-4),,,,
116,1905,Ind,9,2,0,0.818,11.63,-1.19,,,,Walter Booth (8-2),,,,
117,1904,Ind,9,3,0,0.75,14.62,1.54,,,,Walter Booth (7-3),,,,
118,1903,Ind,11,0,0,1,16.35,-1.47,,,,Walter Booth (10-0),,,,
119,1902,Ind,10,0,0,1,16.92,1.62,,,,Walter Booth (9-0),,,,
120,1901,Ind,7,2,0,0.778,5.65,-4.24,,,,Walter Booth (6-2),,,,
121,1900,Ind,7,1,2,0.8,1.75,-7.85,,,,Walter Booth (6-1-1),,,,