Rk,Coach,From,To,Yrs,Overall Games,Overall Wins,Overall Losses,Overall Ties,Overall Pct,Bowl Games,Bowl Wins,Bowl Losses,Bowl Ties,Bowl Pct,Notes
1,Tom Osborne,1973,1997,25,307,255,49,3,0.836,25,12,13,0,0.48,
2,Bob Devaney,1962,1972,11,123,101,20,2,0.829,9,6,3,0,0.667,
3,Bo Pelini,2003,2014,8,94,67,27,0,0.713,7,4,3,0,0.571,
4,Frank Solich,1998,2003,6,77,58,19,0,0.753,5,2,3,0,0.4,
5,Dana Bible,1929,1936,8,72,50,15,7,0.743,0,0,0,0,,
6,Walter Booth,1900,1905,6,55,46,8,1,0.845,0,0,0,0,,
7,Jumbo Stiehm,1911,1915,5,40,35,2,3,0.913,0,0,0,0,,
8,William Glassford,1949,1955,7,69,30,35,4,0.464,1,0,1,0,0,
9,Biff Jones,1937,1941,5,46,28,14,4,0.652,1,0,1,0,0,
10,Bill Callahan,2004,2007,4,49,27,22,0,0.551,2,1,1,0,0.5,
11,King Cole,1907,1910,4,36,25,8,3,0.736,0,0,0,0,,
12,Ernest Bearg,1925,1928,4,33,23,7,3,0.742,0,0,0,0,,
13,Fred Dawson,1921,1924,4,32,23,7,2,0.75,0,0,0,0,,
14,Mike Riley,2015,2017,3,38,19,19,0,0.5,2,1,1,0,0.5,
15,William Jennings,1957,1961,5,50,15,34,1,0.31,0,0,0,0,,
16,Scott Frost,2018,2020,3,32,12,20,0,0.375,0,0,0,0,,
17,Edward Stewart,1916,1917,2,15,11,4,0,0.733,0,0,0,0,,
18,Henry Schulte,1919,1920,2,17,8,6,3,0.559,0,0,0,0,,
19,Amos Foster,1906,1906,1,10,6,4,0,0.6,0,0,0,0,,
20,Potsy Clark,1945,1948,2,19,6,13,0,0.316,0,0,0,0,,
21,Bernie Masterson,1946,1947,2,18,5,13,0,0.278,0,0,0,0,,
22,Pete Elliott,1956,1956,1,10,4,6,0,0.4,0,0,0,0,,
23,Adolph Lewandowski,1943,1944,2,16,4,12,0,0.25,0,0,0,0,,
24,Glenn Presnell,1942,1942,1,10,3,7,0,0.3,0,0,0,0,,
25,William Kline,1918,1918,1,6,2,3,1,0.417,0,0,0,0,,
26,Barney Cotton,2014,2014,1,1,0,1,0,0,1,0,1,0,0,